,wine_id,seo_cleaned,alcohol
116,2020763,aveleda-vinho-verde-quinta-da-aveleda,11.5
117,6250600,pt-merino-rose,12.5
118,2226826,encosta-da-vinha-tinto,13.0
119,6580293,agenda-da-vinha-colheita-selecionada-rose,0.0
120,2322451,pt-merino-old-vines-tinto,13.5
121,4848797,pt-merino-branco,13.1
122,4644923,quinta-do-lagar-novo-five-a-viognier,0.0
123,2460166,viuva-gomes-patrao-diogo-lisboa-branco,0.0
124,9237618,adega-do-montado-noia-branco,14.0
125,9288188,adega-do-montado-noia-tinto,0.0
126,5097799,casca-branco,12.2
127,1246384,pt-anselmo-mendes-muros-antigos-escolha,12.0
128,1234518,adega-de-moncao-muralhas-de-moncao-vinho-verde-branco,12.5
129,8695497,solar-das-boucas-escolha-branco,11.5
130,2063250,castello-d-alba-tinto,13.0
131,1635822,jose-maria-da-fonseca-periquita-tinto-original,13.0
132,10720099,mandriola-de-lisboa-branco,12.0
133,1148721,cabriz-dao-colheita-seleccionada-white,12.5
134,4740557,quinta-d-amares-rose-vinho-verde,0.0
135,1417465,ervideira-lusitano-cabernet-sauvignon,14.5
136,6953786,ribeiro-santo-pinha-reserva,13.0
137,4812176,ervideira-lusitano-selecao-rose,13.0
138,4812179,ervideira-lusitano-selecao-branco,12.5
139,4628354,valle-da-fonte-branco,12.5
140,6651829,ribeiro-santo-pinha-encruzado,13.0
141,1247468,quinta-d-amares-loureiro,0.0
142,4812179,ervideira-lusitano-selecao-branco,12.5
143,1230885,ervideira-lusitano-selecao-tinto,14.0
144,1105373,esporao-monte-velho-branco,14.0
145,5571292,esporao-bico-amarelo,11.5
146,11057949,casa-ermelinda-freitas-terras-do-sado-flor-de-la-mar-barrel-aged-chardonnay-branco,13.5
147,2130526,montaria-reserva-alentejano-tinto,14.0
148,8584712,esporao-monte-velho-organic,14.0
149,5372312,quinta-d-amares-loureiro-arinto-superior,12.0
150,8057324,patamar-reserva-red-blend,13.0
151,1523117,quinta-da-lixa-mar-azul-white,9.5
152,1418418,antonio-lopes-vinho-verde-rose,10.5
153,75977,casa-ferreirinha-douro-esteva-douro,13.0
154,1456810,antonio-lopes-vinho-verde-branco,9.5
155,1105373,esporao-monte-velho-branco,14.0
156,1105372,esporao-monte-velho-tinto,13.5
157,6863935,quinta-d-amares-loureiro-alvarinho,12.0
158,1257301,portada-medium-sweet-tinto,12.5
159,1675932,antonio-lopes-lopes-tinto,0.0
160,1199675,casa-ermelinda-freitas-terras-do-sado-terras-do-po-tinto,13.5
161,1165199,conde-villar-conde-villar-rose,0.0
162,1843721,bergamota-tinto,13.2
163,1246384,pt-anselmo-mendes-muros-antigos-escolha,12.0
164,2130526,montaria-reserva-alentejano-tinto,14.0
165,3664787,maria-mora-tinto,13.7
166,1694177,herdade-paco-do-conde-alentejano-tinto,14.0
167,2722147,opta-mola-branco-white-wine-v-j5nxo,0.0
168,3316655,casal-monteiro-picadeiro-arinto,13.0
169,3236950,casal-monteiro-picadeiro-pinot-noir-touriga-nacional,13.0
170,5217770,guarda-rios-rose,13.0
171,2787871,amoras-douro-tinto,0.0
172,8639039,monte-da-capela-capela-rose,12.5
173,1719383,valle-da-fonte-tinto-douro,14.0
174,1214830,pt-jp-azeitao-rose,13.5
175,76389,pt-calem-fine-tawny-po,
176,6821373,gravuras-do-coa-rose,13.5
177,4872512,gravuras-do-coa-branco,0.0
178,16384,lavradores-de-feitoria-douro-tinto,13.0
179,7520771,pt-santa-cristina-quinta-de-santa-cristina-grande-escolha,12.5
180,2366362,vallegre-douro-colheita,13.0
181,7488365,azevedo-azevedo-loureiro-alvarinho,12.0
182,2020763,aveleda-vinho-verde-quinta-da-aveleda,11.5
183,2027063,jose-maria-da-fonseca-montado-alentejo-tinto,13.7
184,3355340,casa-santos-lima-bonavita-tinto,14.0
185,2447595,lavradores-de-feitoria-douro-rose,12.5
186,8910684,casa-ermelinda-freitas-terras-do-sado-sand-stone-shiraz,14.5
187,2018319,antonio-lopes-reserva,13.0
188,4168768,vinha-maria-premium-tinto,13.0
189,9165941,niepoort-struwwelpeter,13.0
190,1200086,guarda-rios-tinto,13.5
191,5807462,casa-santos-lima-campo-de-ourique,0.0
192,2286242,guimaraes-minho-praca-de-s-tiago-espadeiro,10.6
193,10208670,monte-da-capela-capela-tinto,15.0
194,2164593,guimaraes-minho-praca-de-s-tiago-branco,12.0
195,1177614,ciconia-reserva-tinto-blend,14.2
196,1278529,aveleda-vinho-verde-loureiro-alvarinho,11.0
197,16385,lavradores-de-feitoria-douro-branco,12.5
198,8621786,dona-vitoria-grande-escolha-rose,0.0
199,8720016,dona-vitoria-grande-escolha-branco,0.0
200,6748101,quinta-da-lixa-escolha-white-blend,11.5
201,1278529,aveleda-vinho-verde-loureiro-alvarinho,11.0
202,2273406,porta-6-tinto,13.5
203,1651888,cadao-reserva-tinto,14.0
204,75650,quinta-do-encontro-q-do-e-merlot-baga,13.5
205,3027024,esporao-assobio-douro-branco,0.0
206,1781887,herdade-da-calada-vale-de-calada-tinto,14.5
207,1197823,pt-vista-alegre-fine-ruby-por,
208,1493141,esporao-assobio-douro,13.0
209,1246803,herdade-do-rocim-mariana-tinto,14.0
210,1754912,maria-mora-branco,12.8
211,3076465,carlos-lucas-lilas-douro-tinto,13.0
212,4588455,herdade-do-rocim-mariana-rose,12.5
213,1505229,quinta-do-gradil-tinto-1492,14.0
214,8666429,alfacinha-superior-estremadura,12.0
215,75977,casa-ferreirinha-douro-esteva-douro,13.0
216,6313183,casa-ermelinda-freitas-terras-do-sado-baia-de-troia-castelao-terras-do-sado,15.5
217,4771540,quinta-do-gradil-branco,13.0
218,3664787,maria-mora-tinto,13.7
219,1239731,casa-agricola-de-compostela-espigueiro,10.8
220,1897464,herdade-do-rocim-mariana-branco,12.5
221,11064776,casa-ermelinda-freitas-terras-do-sado-sandstone-castelao-shiraz,0.0
222,7056217,alfacinha-reserva-tinto,13.5
223,1434870,quinta-da-lixa-vinha-real,9.5
224,1165841,cartuxa-ea-tinto,12.5
225,10077407,portas-da-herdade-selecao-do-enologo,14.0
226,7221610,villa-alvor-tinto,14.0
227,4621121,pt-anselmo-mendes-three-rios-vinho-verde-vinho-verde-white-wine,12.5
228,7283969,villa-alvor-rose,13.0
229,7249475,villa-alvor-branco,12.0
230,1105372,esporao-monte-velho-tinto,13.5
231,7585505,portada-branco-reserva,12.0
232,5757354,portada-reserva-estremadura,13.0
233,10868656,companhia-de-vinhos-invencivel-invincible-number-um-branco,13.0
234,10868658,companhia-de-vinhos-invencivel-invincible-number-um-tinto,14.0
235,90059,quinta-do-carmo-dom-martinho-tinto,14.5
236,1635822,jose-maria-da-fonseca-periquita-tinto-original,13.0
237,7377476,quinta-da-raza-falco-arinto,12.0
238,8305732,quinta-da-raza-falco-rose,11.5
239,1182922,setencostas-tinto,13.5
240,1227972,burmester-tavedo-douro,12.5
241,1227972,burmester-tavedo-douro,12.5
242,1201097,pt-anselmo-mendes-muros-antigos-loureiro,12.0
243,1456409,quinta-nova-de-nossa-senhora-do-carmo-pomares-branco,14.0
244,10382318,portas-da-herdade-touriga-nacional,14.0
245,7384596,portas-da-herdade-trincadeira,14.0
246,1584853,portas-da-herdade-reserva-tinto,14.5
247,1203014,quinta-vale-d-maria-rufo-douro-tinto,14.0
248,2050841,herdade-de-sao-miguel-colheita-seleccionada-tinto,14.5
249,1620649,reserva-dos-amigos-tinto,13.5
250,2440714,antonio-lopes-dao,12.5
251,6453961,casal-branco-peter-and-wolf-white,12.5
252,2451284,quinta-do-gradil-sauvignon-blanc-arinto,12.5
253,11455816,aveleda-alvarinho-vinho-verde,12.5
254,7090736,feuerheerd-s-reserva-tinto,13.5
255,1268264,fafide-colheita-tinto,13.0
256,1146628,dona-maria-branco,13.0
257,5277662,cabriz-dao-colheita-seleccionada-rose-dao,12.5
258,5277662,cabriz-dao-colheita-seleccionada-rose-dao,12.5
259,7149475,j-portugal-ramos-vinhos-sa-marques-de-borba-colheita-branco,0.0
260,6707915,j-portugal-ramos-vinhos-sa-marques-de-borba-colheita-tinto,14.0
261,1202917,niepoort-douro-fabelhaft-branco,12.5
262,1864413,herdade-penedo-gordo-tapada-de-villar-tinto,0.0
263,1639509,cabriz-colheita-seleccionada-tinto,13.0
264,3940488,herdade-da-fonte-coberta-reserva-bolota-dourada,15.0
265,7384617,portas-da-herdade-alicante-bouschet,13.0
266,1189878,esporao-vinha-da-defesa-branco,13.5
267,2392264,amoreira-da-torre-red-blend,14.3
268,1146629,dona-maria-rose,12.5
269,10183829,portada-reserva-shiraz-cabernet-sauvignon,13.5
270,6555872,dona-vitoria-grande-escolha,13.5
271,5318035,avidagos-rose,13.5
272,1254842,avidagos-branco,12.5
273,7505120,casa-santos-lima-topo-tinto-vinho-de-portugal,13.0
274,1241948,avidagos-tinto,14.0
275,2458400,carlos-alonso-piano-reserva-tinto,14.5
276,2589723,quinta-nova-de-nossa-senhora-do-carmo-pomares-tinto,13.0
277,1650763,casa-ferreirinha-douro-papa-figos-douro,13.0
278,4843593,silk-spice-red-blend,13.5
279,2240220,beyra-branco,12.5
280,8286223,casa-grande-sant-ana-avesso,12.5
281,1220941,casa-d-arrochella-grandes-quintas-colheita-tinto,13.5
282,5560399,pt-quevedo-oscar-s-rose,13.0
283,2030089,fonte-do-ouro-tinto,13.0
284,1174232,pt-quevedo-oscar-s-branco,13.0
285,7102524,fonte-do-ouro-rose,13.0
286,6652289,fonte-do-ouro-branco,13.0
287,1165715,pt-quevedo-oscar-s-tinto,13.0
288,1150168,adega-de-moncao-alvarinho-deu-la-deu,13.0
289,7134806,evidencia-reserva-encruzado,13.5
290,6661613,evidencia-reserva-touriga-nacional,13.0
291,1900580,fagote-reserva-branco,13.0
292,1648869,a-d-wines-quinta-de-santa-teresa-liv-rose,12.5
293,2752143,insignia-white-po,
294,1274063,insignia-ruby-po,
295,1950229,insignia-tawny-po,
296,1192943,quinta-do-popa-contos-da-terra-tinto,13.5
297,1148721,cabriz-dao-colheita-seleccionada-white,12.5
298,3206911,a-d-wines-quinta-de-santa-teresa-liv-branco,12.0
299,4301235,colossal-reserva,14.0
300,5221189,cadao-fine-white-por,
301,1391737,porrais-tinto,13.0
302,2533540,herdade-do-peso-trinca-bolotas-alentejo-tinto,14.0
303,6494424,ravasqueira-selecao-do-ano-branco,13.0
304,5970509,ravasqueira-selecao-do-ano-tinto-alentejano,13.5
305,6396227,ravasqueira-selecao-do-ano-rose-alentejano,13.0
306,6494424,ravasqueira-selecao-do-ano-branco,13.0
307,1508612,ribeiro-santo-reserva-tinto,13.6
308,5729359,ab-valley-abcdarium-superior,12.0
309,76419,aveleda-colheita-selecionada-alvarinho,12.5
310,1203014,quinta-vale-d-maria-rufo-douro-tinto,14.0
311,7652352,pt-merino-reserva-tinto,14.0
312,1210322,casa-santos-lima-palha-canas-tinto,13.5
313,5335762,adega-de-favaios-casa-velha-tinto,13.0
314,1712414,cartuxa-ea-branco,13.0
315,1712414,cartuxa-ea-branco,13.0
316,2448755,quinta-d-amares-alvarinho-vinho-verde,13.0
317,1667464,casa-ferreirinha-douro-planalto-reserva-douro-branco,12.5
318,1408473,cabriz-touriga-nacional-dao,14.0
319,1465932,maria-mora-reserva,14.0
320,1957597,niepoort-douro-fabelhaft-tinto,13.0
321,1981508,solar-das-boucas-loureiro,11.0
322,2392264,amoreira-da-torre-red-blend,14.3
323,1514702,quinta-do-gradil-cabernet-sauvignon-tinto-roriz,13.5
324,5459378,cabriz-dao-reserva-branco,13.0
325,1903437,quinta-da-plansel-plansel-selecta-homenagem-ao-thomas,15.0
326,1510325,ervideira-vinha-d-ervideira-colheita-seleccionada-tinto,13.5
327,1167854,barros-porto-ruby-po,
328,1144711,pt-calem-fine-white-po,
329,6353184,quinta-dona-mafalda-little-mafalda,0.0
330,6807939,casa-ermelinda-freitas-terras-do-sado-fat-baron-shiraz,14.5
331,1206072,barros-porto-tawny-po,
332,1396780,barros-porto-white-po,
333,1219673,veedha-douro-red,13.5
334,1377489,casa-ermelinda-freitas-terras-do-sado-dona-ermelinda-reserva-palmela,14.5
335,1957597,niepoort-douro-fabelhaft-tinto,13.0
336,6651801,mocho-galego-alentejano-signature-branco,13.0
337,1533953,ervideira-lusitano-reserva,13.5
338,5729176,ab-valley-b-avesso-reserve,13.0
339,1768327,casal-branco-falcoaria-classico,14.0
340,2755114,viuva-gomes-patrao-diogo-lisboa-tinto,0.0
341,5883646,mayor-selecao-branco-alentejano-white-wine,0.0
