Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.01,0.553231419699103
100% Corpus,4,0.01,0.31,0.5751418743688227
100% Corpus,4,0.01,0.61,0.5993005674310184
100% Corpus,4,0.01,0.9099999999999999,0.5948522798951464
100% Corpus,4,0.01,symmetric,0.5685287273164144
100% Corpus,4,0.31,0.01,0.5642505607290154
100% Corpus,4,0.31,0.31,0.533494854322107
100% Corpus,4,0.31,0.61,0.5605056327541396
100% Corpus,4,0.31,0.9099999999999999,0.5645374514702584
100% Corpus,4,0.31,symmetric,0.5297909302452573
100% Corpus,4,0.61,0.01,0.5534348704533214
100% Corpus,4,0.61,0.31,0.6249313936527947
100% Corpus,4,0.61,0.61,0.5941377808431866
100% Corpus,4,0.61,0.9099999999999999,0.5961709083406147
100% Corpus,4,0.61,symmetric,0.5826216370998413
100% Corpus,4,0.9099999999999999,0.01,0.5783833542441561
100% Corpus,4,0.9099999999999999,0.31,0.6059841461951355
100% Corpus,4,0.9099999999999999,0.61,0.5999366586710142
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.6212500328311177
100% Corpus,4,0.9099999999999999,symmetric,0.6281044609313428
100% Corpus,4,symmetric,0.01,0.5645665854897155
100% Corpus,4,symmetric,0.31,0.5232892472271011
100% Corpus,4,symmetric,0.61,0.6102996550731594
100% Corpus,4,symmetric,0.9099999999999999,0.5402009139544244
100% Corpus,4,symmetric,symmetric,0.5564837891457981
100% Corpus,4,asymmetric,0.01,0.6088505387349665
100% Corpus,4,asymmetric,0.31,0.6267010097071994
100% Corpus,4,asymmetric,0.61,0.6444317067002074
100% Corpus,4,asymmetric,0.9099999999999999,0.6127019968359498
100% Corpus,4,asymmetric,symmetric,0.6303440993550042
100% Corpus,5,0.01,0.01,0.5621753622964245
100% Corpus,5,0.01,0.31,0.5735756596839511
100% Corpus,5,0.01,0.61,0.5696164501466512
100% Corpus,5,0.01,0.9099999999999999,0.5691564989551987
100% Corpus,5,0.01,symmetric,0.5707305702176053
100% Corpus,5,0.31,0.01,0.5776456023749132
100% Corpus,5,0.31,0.31,0.5792447095159383
100% Corpus,5,0.31,0.61,0.5741187004770296
100% Corpus,5,0.31,0.9099999999999999,0.5882866772065818
100% Corpus,5,0.31,symmetric,0.564020568143522
100% Corpus,5,0.61,0.01,0.5767124822901671
100% Corpus,5,0.61,0.31,0.6288615892206193
100% Corpus,5,0.61,0.61,0.6348041587719545
100% Corpus,5,0.61,0.9099999999999999,0.6106624009116539
100% Corpus,5,0.61,symmetric,0.6299337269694654
100% Corpus,5,0.9099999999999999,0.01,0.5974831795358287
100% Corpus,5,0.9099999999999999,0.31,0.6224465265175203
100% Corpus,5,0.9099999999999999,0.61,0.6287124730051407
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.62544089945385
100% Corpus,5,0.9099999999999999,symmetric,0.6139005924612766
100% Corpus,5,symmetric,0.01,0.5618448493314824
100% Corpus,5,symmetric,0.31,0.5760051957590174
100% Corpus,5,symmetric,0.61,0.577229302555631
100% Corpus,5,symmetric,0.9099999999999999,0.5799621494740462
100% Corpus,5,symmetric,symmetric,0.5637532507857648
100% Corpus,5,asymmetric,0.01,0.6578237221021245
100% Corpus,5,asymmetric,0.31,0.666788196653052
100% Corpus,5,asymmetric,0.61,0.6676788780398393
100% Corpus,5,asymmetric,0.9099999999999999,0.6407093220085234
100% Corpus,5,asymmetric,symmetric,0.6594489666273123
100% Corpus,6,0.01,0.01,0.5672799323013645
100% Corpus,6,0.01,0.31,0.5633119653246088
100% Corpus,6,0.01,0.61,0.5669139247835361
100% Corpus,6,0.01,0.9099999999999999,0.5663351476306363
100% Corpus,6,0.01,symmetric,0.5755090970874575
100% Corpus,6,0.31,0.01,0.5998539327241881
100% Corpus,6,0.31,0.31,0.5791428121789548
100% Corpus,6,0.31,0.61,0.5770950718401378
100% Corpus,6,0.31,0.9099999999999999,0.5857431379568717
100% Corpus,6,0.31,symmetric,0.5936651578238016
100% Corpus,6,0.61,0.01,0.558792436230758
100% Corpus,6,0.61,0.31,0.5653422759549381
100% Corpus,6,0.61,0.61,0.583175562655335
100% Corpus,6,0.61,0.9099999999999999,0.5762390939992782
100% Corpus,6,0.61,symmetric,0.5901934682746893
100% Corpus,6,0.9099999999999999,0.01,0.5946354876159644
100% Corpus,6,0.9099999999999999,0.31,0.5885092405161814
100% Corpus,6,0.9099999999999999,0.61,0.5670701895400865
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5910246474312136
100% Corpus,6,0.9099999999999999,symmetric,0.5910511369756909
100% Corpus,6,symmetric,0.01,0.5722773850162718
100% Corpus,6,symmetric,0.31,0.5819890940430295
100% Corpus,6,symmetric,0.61,0.589625702747415
100% Corpus,6,symmetric,0.9099999999999999,0.5824929609217526
100% Corpus,6,symmetric,symmetric,0.5719941369585904
100% Corpus,6,asymmetric,0.01,0.5818323945177867
100% Corpus,6,asymmetric,0.31,0.5795269082247939
100% Corpus,6,asymmetric,0.61,0.6160112626725036
100% Corpus,6,asymmetric,0.9099999999999999,0.6395935584941062
100% Corpus,6,asymmetric,symmetric,0.6187998065721889
100% Corpus,7,0.01,0.01,0.5698337449804212
100% Corpus,7,0.01,0.31,0.5312223231255291
100% Corpus,7,0.01,0.61,0.5690132793741054
100% Corpus,7,0.01,0.9099999999999999,0.5490997047517773
100% Corpus,7,0.01,symmetric,0.5505339030308825
100% Corpus,7,0.31,0.01,0.579057575677825
100% Corpus,7,0.31,0.31,0.613389158954596
100% Corpus,7,0.31,0.61,0.6054964664311161
100% Corpus,7,0.31,0.9099999999999999,0.601867770979317
100% Corpus,7,0.31,symmetric,0.5963532717449106
100% Corpus,7,0.61,0.01,0.5482069746134318
100% Corpus,7,0.61,0.31,0.577081225202778
100% Corpus,7,0.61,0.61,0.5732222678770881
100% Corpus,7,0.61,0.9099999999999999,0.5797867155143067
100% Corpus,7,0.61,symmetric,0.5789134088847833
100% Corpus,7,0.9099999999999999,0.01,0.5919446022023848
100% Corpus,7,0.9099999999999999,0.31,0.6107660583391491
100% Corpus,7,0.9099999999999999,0.61,0.609911027041785
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.6126581063354453
100% Corpus,7,0.9099999999999999,symmetric,0.6173544365122485
100% Corpus,7,symmetric,0.01,0.5874894911622676
100% Corpus,7,symmetric,0.31,0.6047163028798747
100% Corpus,7,symmetric,0.61,0.5844219912980534
100% Corpus,7,symmetric,0.9099999999999999,0.5811136274902092
100% Corpus,7,symmetric,symmetric,0.5598162253604445
100% Corpus,7,asymmetric,0.01,0.6234096412903527
100% Corpus,7,asymmetric,0.31,0.6118963569823811
100% Corpus,7,asymmetric,0.61,0.6067704546565118
100% Corpus,7,asymmetric,0.9099999999999999,0.6388631063278177
100% Corpus,7,asymmetric,symmetric,0.6106001483900629
100% Corpus,8,0.01,0.01,0.5861494782845847
100% Corpus,8,0.01,0.31,0.5663563648772789
100% Corpus,8,0.01,0.61,0.5445637935547345
100% Corpus,8,0.01,0.9099999999999999,0.531834856224999
100% Corpus,8,0.01,symmetric,0.5695550369991447
100% Corpus,8,0.31,0.01,0.5873878232613798
100% Corpus,8,0.31,0.31,0.603565265964718
100% Corpus,8,0.31,0.61,0.592406823090611
100% Corpus,8,0.31,0.9099999999999999,0.583472838858334
100% Corpus,8,0.31,symmetric,0.5923087023452105
100% Corpus,8,0.61,0.01,0.5630818333762768
100% Corpus,8,0.61,0.31,0.5829318470903081
100% Corpus,8,0.61,0.61,0.5898154959460702
100% Corpus,8,0.61,0.9099999999999999,0.5795598816858949
100% Corpus,8,0.61,symmetric,0.5965176137248095
100% Corpus,8,0.9099999999999999,0.01,0.6043122857616625
100% Corpus,8,0.9099999999999999,0.31,0.6037278283504685
100% Corpus,8,0.9099999999999999,0.61,0.6059646286843114
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5988448905717888
100% Corpus,8,0.9099999999999999,symmetric,0.607648096850969
100% Corpus,8,symmetric,0.01,0.5990754031360639
100% Corpus,8,symmetric,0.31,0.5887694749848333
100% Corpus,8,symmetric,0.61,0.5689844409087845
100% Corpus,8,symmetric,0.9099999999999999,0.5706384402641482
100% Corpus,8,symmetric,symmetric,0.5495221333702371
100% Corpus,8,asymmetric,0.01,0.6147078750631043
100% Corpus,8,asymmetric,0.31,0.6398420958747173
100% Corpus,8,asymmetric,0.61,0.5965158656000551
100% Corpus,8,asymmetric,0.9099999999999999,0.6127794224391382
100% Corpus,8,asymmetric,symmetric,0.6239337704324474
100% Corpus,9,0.01,0.01,0.5621853242643096
100% Corpus,9,0.01,0.31,0.5493345323925504
100% Corpus,9,0.01,0.61,0.5855742243280786
100% Corpus,9,0.01,0.9099999999999999,0.5664664358779291
100% Corpus,9,0.01,symmetric,0.5421876997739924
100% Corpus,9,0.31,0.01,0.5649518447800929
100% Corpus,9,0.31,0.31,0.6122789391387313
100% Corpus,9,0.31,0.61,0.5970601524464697
100% Corpus,9,0.31,0.9099999999999999,0.6251081667197379
100% Corpus,9,0.31,symmetric,0.5679496666668572
